iter	Passed	Remaining
704	3445	1441
705	3447	1435
706	3449	1429
707	3451	1423
708	3456	1418
709	3462	1414
710	3464	1408
711	3466	1402
712	3469	1396
713	3474	1391
714	3477	1386
715	3483	1381
716	3490	1377
717	3492	1371
718	3494	1365
719	3500	1361
720	3508	1357
721	3511	1352
722	3515	1346
723	3534	1347
724	3537	1341
725	3541	1336
726	3545	1331
727	3567	1333
728	3571	1327
729	3575	1322
730	3585	1319
731	3589	1314
732	3594	1309
733	3602	1305
734	3604	1299
735	3608	1294
736	3621	1292
737	3622	1286
738	3624	1280
739	3626	1274
740	3649	1275
741	3654	1270
742	3656	1264
743	3657	1258
744	3663	1253
745	3666	1248
746	3668	1242
747	3670	1236
748	3678	1232
749	3684	1228
750	3686	1222
751	3687	1216
752	3689	1210
753	3693	1205
754	3696	1199
755	3700	1194
756	3704	1189
757	3710	1184
758	3716	1180
759	3720	1174
760	3725	1170
761	3728	1164
762	3731	1159
763	3733	1153
764	3735	1147
765	3740	1142
766	3742	1136
767	3744	1131
768	3747	1125
769	3754	1121
770	3757	1116
771	3761	1110
772	3766	1105
773	3771	1101
774	3773	1095
775	3782	1091
776	3786	1086
777	3787	1080
778	3789	1075
779	3792	1069
780	3794	1064
781	3796	1058
782	3798	1052
783	3805	1048
784	3808	1043
785	3810	1037
786	3813	1032
787	3817	1027
788	3819	1021
789	3823	1016
790	3830	1011
791	3836	1007
792	3839	1002
793	3842	996
794	3845	991
795	3850	986
796	3853	981
797	3855	976
798	3857	970
799	3859	964
800	3861	959
801	3865	954
802	3867	948
803	3869	943
804	3884	940
805	3889	936
806	3892	930
807	3898	926
808	3900	920
809	3904	915
810	3908	910
811	3912	905
812	3916	900
813	3920	895
814	3926	891
815	3929	886
816	3941	882
817	3946	878
818	3951	873
819	3956	868
820	3958	863
821	3960	857
822	3962	852
823	3964	846
824	3965	841
825	3967	835
826	3970	830
827	3972	825
828	3974	819
829	3976	814
830	4013	816
831	4017	811
832	4019	805
833	4021	800
834	4024	795
835	4027	790
836	4034	785
837	4039	780
838	4042	775
839	4045	770
840	4051	765
841	4054	760
842	4059	756
843	4090	756
844	4094	751
845	4102	746
846	4105	741
847	4107	736
848	4110	731
849	4116	726
850	4119	721
851	4121	715
852	4123	710
853	4124	705
854	4130	700
855	4134	695
856	4175	696
857	4191	693
858	4196	688
859	4199	683
860	4201	678
861	4203	673
862	4208	668
863	4209	662
864	4211	657
865	4213	652
866	4215	646
867	4218	641
868	4223	636
869	4225	631
870	4228	626
871	4245	623
872	4249	618
873	4255	613
874	4257	608
875	4259	602
876	4261	597
877	4263	592
878	4265	587
879	4271	582
880	4274	577
881	4278	572
882	4285	567
883	4290	563
884	4310	560
885	4312	554
886	4314	549
887	4319	544
888	4321	539
889	4324	534
890	4327	529
891	4329	524
892	4332	519
893	4335	514
894	4339	509
895	4342	503
896	4348	499
897	4353	494
898	4356	489
899	4381	486
900	4384	481
901	4397	477
902	4399	472
903	4403	467
904	4406	462
905	4416	458
906	4425	453
907	4429	448
908	4437	444
909	4445	439
910	4449	434
911	4451	429
912	4453	424
913	4454	419
914	4456	414
915	4461	409
916	4465	404
917	4470	399
918	4477	394
919	4482	389
920	4493	385
921	4497	380
922	4501	375
923	4508	370
924	4511	365
925	4516	360
926	4551	358
927	4558	353
928	4561	348
929	4564	343
930	4566	338
931	4569	333
932	4573	328
933	4579	323
934	4583	318
935	4587	313
936	4592	308
937	4599	304
938	4606	299
939	4609	294
940	4611	289
941	4613	284
942	4647	280
943	4651	275
944	4653	270
945	4662	266
946	4754	266
947	4757	260
948	4767	256
949	4771	251
950	4777	246
951	4784	241
952	4789	236
953	4793	231
954	4800	226
955	4805	221
956	4808	216
957	4822	211
958	4841	206
959	4847	201
960	4851	196
961	4853	191
962	4856	186
963	4857	181
964	4859	176
965	4861	171
966	4864	165
967	4866	160
968	4868	155
969	4870	150
970	4872	145
971	4877	140
972	4879	135
973	4882	130
974	4884	125
975	4887	120
976	4894	115
977	4907	110
978	4911	105
979	4915	100
980	4919	95
981	4925	90
982	4929	85
983	4930	80
984	4932	75
985	4934	70
986	4938	65
987	4941	60
988	4943	54
989	4948	49
990	4954	44
991	4958	39
992	4960	34
993	4962	29
994	4964	24
995	4971	19
996	4973	14
997	4978	9
998	4984	4
999	4989	0
